date,campaign,site,canopy_position,id_plant,sample_type,umol_suc_ml,ug_suc_ml
20230830,summer23,BER,shade_low,BER4,SPH,0.502092364,171.8662162
20230830,summer23,BER,shade_low,BER5,SPH,0.668313702,228.7637804
20230830,summer23,BER,shade_low,BER6,SPH,0.592407922,202.7812317
20230901,summer23,DIU,shade_low,DIU1,LPH,0.105082455,35.96972447
20230901,summer23,DIU,shade_low,DIU2,LPH,0.218348903,74.74082935
20230901,summer23,DIU,shade_low,DIU3,LPH,0.053032267,18.15294506
20230901,summer23,DIU,shade_low,DIU4,LPH,0.142074099,48.63196392
20230901,summer23,DIU,shade_low,DIU5,LPH,0.097225823,33.28039927
20230901,summer23,DIU,shade_low,DIU6,LPH,0.07038233,24.09187153
20230901,summer23,DIU,NA,DIU1,BPH,0.745612249,255.223073
20230901,summer23,DIU,NA,DIU2,BPH,1.13039081,386.9327744
20230901,summer23,DIU,NA,DIU3,BPH,1.312575397,449.2945584
20230901,summer23,DIU,NA,DIU4,BPH,1.1606567,397.2927885
20230901,summer23,DIU,NA,DIU5,BPH,1.239615854,424.3205067
20230901,summer23,DIU,NA,DIU6,BPH,1.222152703,418.3428702
20230901,summer23,DIU,shade_low,DIU1,SPH,1.265435604,433.1586072
20230901,summer23,DIU,shade_low,DIU2,SPH,1.295433654,443.4269397
20230901,summer23,DIU,shade_low,DIU3,SPH,0.937706906,320.977074
20230901,summer23,DIU,shade_low,DIU4,SPH,1.384999261,474.085247
20230901,summer23,DIU,shade_low,DIU5,SPH,0.976382964,334.2158885
20230901,summer23,DIU,shade_low,DIU6,SPH,0.954687945,326.7896837
20230829,summer23,ITU,shade_low,ITU1,LPH,0.013094387,4.482208656
20230829,summer23,ITU,shade_low,ITU2,LPH,0.01964158,6.723312985
20230829,summer23,ITU,shade_low,ITU3,LPH,0.058270022,19.94582852
20230829,summer23,ITU,shade_low,ITU4,LPH,-0.021605738,-7.395644283
20230829,summer23,ITU,shade_low,ITU5,LPH,0.096243744,32.94423362
20230829,summer23,ITU,shade_low,ITU6,LPH,0.083476717,28.57408018
20230829,summer23,ITU,shade_low,ITU1,SPH,1.063055901,363.884035
20230829,summer23,ITU,shade_low,ITU2,SPH,0.599961003,205.3666512
20230829,summer23,ITU,shade_low,ITU3,SPH,0.705114882,241.360824
20230829,summer23,ITU,shade_low,ITU4,SPH,0.706239809,241.7458865
20230829,summer23,ITU,shade_low,ITU5,SPH,0.59872894,204.9449161
20230829,summer23,ITU,shade_low,ITU6,SPH,0.464862641,159.122482
20230829,summer23,ITU,NA,ITU1,BPH,1.261525144,431.8200567
20230829,summer23,ITU,NA,ITU2,BPH,1.198904214,410.3849125
20230829,summer23,ITU,NA,ITU3,BPH,0.954527241,326.7346747
20230829,summer23,ITU,NA,ITU4,BPH,0.987578665,338.0481769
20230829,summer23,ITU,NA,ITU5,BPH,1.372732201,469.8862324
20230829,summer23,ITU,NA,ITU6,BPH,0.978525682,334.9493408
20230720,summer23,HMO,NA,HMO1,BPH,1.308986344,448.0660257
20230720,summer23,HMO,NA,HMO2,BPH,1.421371897,486.5356002
20230720,summer23,HMO,NA,HMO3,BPH,1.56868375,536.9604476
20230720,summer23,HMO,NA,HMO4,BPH,1.517097817,519.3025828
20230720,summer23,HMO,NA,HMO5,BPH,1.468404554,502.6348787
20230926,late_summer23,HMO,NA,HMO1,BPH,0.894102598,306.0513192
20230926,late_summer23,HMO,NA,HMO2,BPH,0.830249605,284.1944399
20230926,late_summer23,HMO,NA,HMO3,BPH,1.135747605,388.7664052
20230926,late_summer23,HMO,NA,HMO4,BPH,1.142015055,390.9117532
20230926,late_summer23,HMO,NA,HMO5,BPH,1.314825251,450.0646833
