date,season,id_plant,sample_type,light_exposure,site,Vol extraccion sac (ml),# de hojas,Vol_resusp (ml),Vol_final_pocillo_sac_(ml),Vol sacarosa (ml),Sacarosa 01,rep_S01,Sacarosa 02,rep_S02,Sac 02-01,Sac_rep_02-01,Promedio sacarosa,Aplicando la recta sacarosa_um_ml,ug_sac_ml,ug_C_ml,ug_C_MUESTRA (sin descontar lo usado para medir),ug_C_MUESTRA (descontando lo usado para medir),mg C capsulitas analisis isotopos
20230615,spring,5,SPH,shade_low,diustes,10,,,0.25,0.11,0.725,0.727,2.4876,2.4812,1.7626,1.7542,1.7584,0.941938774,322.4256423,135.4187698,1354.187698,1324.395568,1.354187698
20230615,spring,6,SPH,shade_low,diustes,10,,,0.25,0.11,0.907,0.958,3.0966,3.217,2.1896,2.259,2.2243,1.191511837,407.854502,171.2988908,1712.988908,1675.303152,1.712988908
20230606,spring,1,LPH,shade_low,iturrieta,1.8,10,0.5,0.25,0.015,0.301,0.303,0.313,0.317,0.012,0.014,0.013,0.051068109,17.48061376,7.341857779,3.67092889,3.450673156,
20230606,spring,2,LPH,shade_low,iturrieta,1.8,10,0.5,0.25,0.015,0.292,0.296,0.294,0.298,0.002,0.002,0.002,0.007856632,2.689325194,1.129516581,0.564758291,0.530872793,
20230606,spring,3,LPH,shade_low,iturrieta,1.8,10,0.5,0.25,0.015,0.279,0.283,0.296,0.293,0.017,0.01,0.0135,0.053032267,18.15294506,7.624236925,3.812118462,3.583391355,
20230606,spring,4,LPH,shade_low,iturrieta,1.8,10,0.5,0.25,0.015,0.366,0.373,0.381,0.383,0.015,0.01,0.0125,0.049103951,16.80828246,7.059478634,3.529739317,3.317954958,
20230606,spring,5,LPH,shade_low,iturrieta,1.8,10,0.5,0.25,0.015,0.321,0.313,0.333,0.332,0.012,0.019,0.0155,0.060888899,20.84227025,8.753753506,4.376876753,4.114264148,
20230606,spring,6,LPH,shade_low,iturrieta,1.8,10,0.5,0.25,0.015,0.333,0.339,0.357,0.358,0.024,0.019,0.0215,0.084458796,28.91024583,12.14230325,6.071151625,5.706882528,
20230606,spring,1,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.29,0.306,0.513,0.575,0.223,0.269,0.246,0.131777149,45.10731802,18.94507357,189.4507357,185.2828195,0.189450736
20230606,spring,2,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.342,0.343,0.503,0.511,0.161,0.168,0.1645,0.088119272,30.16322689,12.66855529,126.6855529,123.8984708,0.126685553
20230606,spring,3,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.291,0.306,0.385,0.438,0.094,0.132,0.113,0.06053178,20.7200282,8.702411843,87.02411843,85.10958783,0.087024118
20230606,spring,4,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.289,0.308,0.396,0.507,0.107,0.199,0.153,0.081958958,28.05455145,11.78291161,117.8291161,115.2368756,0.117829116
20230606,spring,5,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.314,0.323,0.422,0.445,0.108,0.122,0.115,0.061603139,21.08675436,8.856436832,88.56436832,86.61595221,0.088564368
20230606,spring,6,SPH,shade_low,iturrieta,10,,,0.25,0.11,0.275,0.281,0.348,0.381,0.073,0.1,0.0865,0.046336274,15.86090654,6.661580747,66.61580747,65.15025971,0.066615807
20230606,spring,1,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.265,0.27,0.358,0.397,0.093,0.127,0.11,0.058924741,20.16993895,8.471374361,84.71374361,82.85004125,0.084713744
20230606,spring,2,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.276,0.276,0.388,0.407,0.112,0.131,0.1215,0.065085055,22.27861439,9.357018044,93.57018044,91.51163647,0.09357018
20230606,spring,3,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.289,0.311,0.455,0.665,0.166,0.354,0.26,0.139276661,47.67440116,20.02324849,200.2324849,195.8273702,0.200232485
20230606,spring,4,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.28,0.278,0.425,0.44,0.145,0.162,0.1535,0.082226798,28.14623299,11.82141786,118.2141786,115.6134666,0.118214179
20230606,spring,5,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.293,0.302,0.533,0.556,0.24,0.254,0.247,0.132312828,45.29068111,19.02208606,190.2208606,186.0360017,0.190220861
20230606,spring,6,BPH,shade_low,iturrieta,10,,,0.25,0.11,0.296,0.293,0.438,0.39,0.142,0.097,0.1195,0.064013696,21.91188823,9.202993055,92.02993055,90.00527208,0.092029931
20230531,spring,1,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,1.326,1.348,3.6966,3.7044,2.3706,2.3564,2.3635,1.266078419,433.3786429,182.01903,1820.1903,1780.146114,1.8201903
20230531,spring,2,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.959,0.945,3.6622,3.65,2.7032,2.705,2.7041,1.448530845,495.8321084,208.2494855,2082.494855,2036.679969,2.082494855
20230531,spring,3,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.665,0.669,3.5838,3.5852,2.9188,2.9162,2.9175,1.562844844,534.96179,224.6839518,2246.839518,2197.409049,2.246839518
20230531,spring,4,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,1.033,1.048,3.6632,3.6704,2.6302,2.6224,2.6263,1.406854983,481.5664607,202.2579135,2022.579135,1978.082394,2.022579135
20230531,spring,5,BPH,shade_low,montejo_sierra,10,,,0.25,0.11,0.726,0.736,3.5756,3.577,2.8496,2.841,2.8453,1.524168786,521.7229755,219.1236497,2191.236497,2143.029294,2.191236497
20230831,summer,1,LPH,shade_low,artikutza,5,10,0.5,0.25,0.015,0.269,0.267,0.273,0.271,0.004,0.004,0.004,0.015713264,5.378650388,2.259033163,1.129516581,1.061745587,
20230831,summer,2,LPH,shade_low,artikutza,5,10,0.5,0.25,0.015,0.301,0.305,0.325,0.332,0.024,0.027,0.0255,0.10017206,34.28889622,14.40133641,7.200668207,6.768628114,
20230831,summer,3,LPH,shade_low,artikutza,5,10,0.5,0.25,0.015,0.305,0.303,0.316,0.313,0.011,0.01,0.0105,0.041247319,14.11895727,5.929962052,2.964981026,2.787082165,
20230831,summer,6,LPH,shade_low,artikutza,5,10,0.5,0.25,0.015,0.276,0.279,0.297333333,0.293,0.021333333,0.014,0.017666667,0.069400251,23.75570588,9.977396469,4.988698235,4.689376341,
20230831,summer,4,LPH,shade_low,artikutza,5,10,0.5,0.25,0.015,0.289,0.287,0.291666667,0.29,0.002666667,0.003,0.002833333,0.011130229,3.809877358,1.60014849,0.800074245,0.75206979,
