"","date","precip_mm","temperatura_maxima","temperatura_minima","temp_air_celcius"
"2729",2007-06-23,0,21,12,16.5
"2730",2007-06-24,0.5,25,13.5,19.25
"2731",2007-06-25,4,17,12,14.5
"2732",2007-06-26,5,16.5,12,14.25
"2733",2007-06-27,0.6,16,13,14.5
"2734",2007-06-28,0,21,9,15
"2735",2007-06-29,0,17,12.5,14.75
"2736",2007-06-30,0,29,12,20.5
"2737",2007-07-01,0.5,20,12.5,16.25
"2738",2007-07-02,0,21,12,16.5
"2739",2007-07-03,0.9,25,12,18.5
"2740",2007-07-04,0.3,17,14,15.5
"2741",2007-07-05,0,25,12,18.5
"2742",2007-07-06,0,25,9,17
"2743",2007-07-07,0,25,16,20.5
"2744",2007-07-08,2.2,21,18,19.5
"2745",2007-07-09,1.6,17,12.5,14.75
"2746",2007-07-10,2.8,17,12.5,14.75
"2747",2007-07-11,0.4,20.5,14,17.25
"2748",2007-07-12,0,25,14.5,19.75
"2749",2007-07-13,0,33,12,22.5
"2750",2007-07-14,0,33,17.5,25.25
"2751",2007-07-15,0,33,17,25
"2752",2007-07-16,2.5,25,16,20.5
"2753",2007-07-17,0,25,16.5,20.75
"2754",2007-07-18,0,21,16,18.5
"2755",2007-07-19,2.8,20.5,16,18.25
"2756",2007-07-20,2,20,14,17
"2757",2007-07-21,0,17.5,12,14.75
"2758",2007-07-22,0.1,25,13,19
"2759",2007-07-23,6.8,21,18,19.5
"2760",2007-07-24,0.5,21,16,18.5
"2761",2007-07-25,0,28.5,12,20.25
"2762",2007-07-26,0,28,14,21
"2763",2007-07-27,0,28,15,21.5
"2764",2007-07-28,0,25,16,20.5
"2765",2007-07-29,0,25,18,21.5
"2766",2007-07-30,0,25,17.5,21.25
"2767",2007-07-31,0,32.5,16,24.25
"2768",2007-08-01,0,25,17,21
"2769",2007-08-02,0,24,16,20
"2770",2007-08-03,0,25,12,18.5
"2771",2007-08-04,0,35,12,23.5
"2772",2007-08-05,0,33,15,24
"2773",2007-08-06,2.5,20,18,19
"2774",2007-08-07,1.7,19,15,17
"2775",2007-08-08,1.5,21,12.5,16.75
"2776",2007-08-09,0,21,12,16.5
"2777",2007-08-10,0,24,12,18
"2778",2007-08-11,0,28.5,12,20.25
"2779",2007-08-12,0,21,12,16.5
"2780",2007-08-13,0,25,14,19.5
"2781",2007-08-14,0,33,16,24.5
"2782",2007-08-15,9.3,33,16,24.5
"2783",2007-08-16,2,20,15,17.5
"2784",2007-08-17,0,21,12,16.5
"2785",2007-08-18,1.6,25,11,18
"2786",2007-08-19,11.8,19,12,15.5
"2787",2007-08-20,50,20,13,16.5
"2788",2007-08-21,76.6,15,13,14
"2789",2007-08-22,58.7,19,12,15.5
"2790",2007-08-23,72.4,16,13,14.5
"2791",2007-08-24,0.8,21,15,18
"2792",2007-08-25,0.3,24.5,15,19.75
"2793",2007-08-26,0,32,16,24
"2794",2007-08-27,0,34,17,25.5
"2795",2007-08-28,0,35,17,26
"2796",2007-08-29,1.5,21,20,20.5
"2797",2007-08-30,1,20,15,17.5
"2798",2007-08-31,0,21,12,16.5
"2799",2007-09-01,0,21,12,16.5
"2800",2007-09-02,0.5,24,13,18.5
"2801",2007-09-03,7.5,21,15,18
"2802",2007-09-04,0.5,21,15.5,18.25
"2803",2007-09-05,0,21,8,14.5
"2804",2007-09-06,0,21,8,14.5
"2805",2007-09-07,0,21,9,15
"2806",2007-09-08,0,21,11,16
"2807",2007-09-09,0,24.5,12.5,18.5
"2808",2007-09-10,0,21,12.5,16.75
"2809",2007-09-11,0,21,12,16.5
"2810",2007-09-12,0,21,12,16.5
"2811",2007-09-13,0.3,25,12,18.5
"2812",2007-09-14,0,17,12,14.5
"2813",2007-09-15,0,25,15,20
"2814",2007-09-16,3.1,29,15,22
"2815",2007-09-17,12.5,21,16,18.5
"2816",2007-09-18,4.3,17,14,15.5
"2817",2007-09-19,0,19,8,13.5
"2818",2007-09-20,0,26,7,16.5
"2819",2007-09-21,1.1,27,11,19
"2820",2007-09-22,3.5,17,16,16.5
"2821",2007-09-23,0,22,16,19
"2822",2007-09-24,3,21,13,17
"2823",2007-09-25,31.2,16,12,14
"2824",2007-09-26,18.7,17,11,14
"2825",2007-09-27,1.3,13,8.5,10.75
"2826",2007-09-28,0,17,7,12
"2827",2007-09-29,0,19,8,13.5
"2828",2007-09-30,0,24.5,10,17.25
