id,d15N_permil,d13C_permil
2_SH_SPH_ORD_20230822,-3.7888021,-29.2642532
2_SHL_SPH_ORD_20230822,-3.1176192,-27.62722
3_SUN_SPH_ORD_20230823,0.107649,-27.0688908
3_SH_SPH_ORD_20230823,-1.1319949,-28.5700872
3_SHL_SPH_ORD_20230823,-1.9487836,-30.2920184
5_SUN_SPH_ORD_20230824,-2.3347387,-27.4364492
5_SH_SPH_ORD_20230824,-1.7842291,-27.6481948
5_SHL_SPH_ORD_20230824,-0.7978994,-29.7416796
6_SUN_SPH_ORD_20230824,-3.7040316,-27.8349704
6_SH_SPH_ORD_20230824,-2.7426344,-26.513558
6_SHL_SPH_ORD_20230824,-1.0482217,-28.3793164
1_SUN_SPH_OE_ORD_20230823,0.1724735,-27.482394
1_SUN_SPH_E_ORD_20230823,-2.5701015,-28.3533476
1_SHL_SPH_N_ORD_20230823,-1.3703496,-31.6643696
1_SHL_SPH_E_ORD_20230823,-0.022,-30.12422
2_SUN_SPH_E_ORD_20230822,-1.9437971,-25.5966596
2_SH_SPH_S_ORD_20230822,-2.71471,-28.6639744
2_SHL_SPH_O_ORD_20230822,-3.7239776,-29.35015
2_SHL_SPH_E_ORD_20230822,-1.1549328,-28.1875468
3_SHL_SPH_S_ORD_20230823,-1.4660904,-31.762252
3_SHL_SPH_O_ORD_20230823,-2.4923121,-31.877114
1_BPH_ORD_20230904,0.9214458,-26.6763624
2_BPH_ORD_20230904,-0.7849345,-27.142802
3_BPH_ORD_20230904,-1.3504036,-27.412478
4_BPH_ORD_20230904,-0.0050459,-28.1156332
5_BPH_ORD_20230904,-0.7191127,-26.5754836
6_BPH_ORD_20230904,-0.3999767,-27.2286988
1_SPH_ORD_20230904,-0.9764161,-29.0365268
2_SPH_ORD_20230904,-1.7114262,-29.6917396
3_SPH_ORD_20230904,-1.5837718,-30.4018864
4_SPH_ORD_20230904,-0.9375214,-31.612432
5_SPH_ORD_20230904,-2.0285676,-31.342756
6_SPH_ORD_20230904,-2.5182419,-30.2500688
1_BPH_ART_20230831,-1.7912102,-29.7117156
2_BPH_ART_20230831,-1.0931002,-29.3761188
3_BPH_ART_20230831,-0.9464971,-28.2344904
4_BPH_ART_20230831,-4.4310633,-28.6070428
6_BPH_ART_20230831,-1.448139,-29.8835092
1_SPH_ART_20230831,-3.7229803,-33.5960488
2_SPH_ART_20230831,-2.1602112,-31.3067992
3_SPH_ART_20230831,-1.7652804,-32.4234576
4_SPH_ART_20230831,-2.4913148,-32.930848
6_SPH_ART_20230831,-0.8557428,-32.6441924
1_BPH_BER_20230830,-1.976708,-29.519946
2_BPH_BER_20230830,-0.4129416,-28.4222648
3_BPH_BER_20230830,0.2063817,-29.759658
4_BPH_BER_20230830,3.1743465,-27.3036088
5_BPH_BER_20230830,0.4048444,-29.894496
6_BPH_BER_20230830,0.6571613,-28.8946972
1_SPH_BER_20230830,-1.946789,-33.1016428
2_SPH_BER_20230830,-0.7240992,-31.1549816
3_SPH_BER_20230830,-1.7961967,-31.8311692
4_SPH_BER_20230830,0.4098309,-32.5832656
5_SPH_BER_20230830,-1.6196746,-34.2702388
6_SPH_BER_20230830,0.1615032,-32.5872608
1_BPH_ITU_20230829,-2.3237684,-29.235288
2_BPH_ITU_20230829,0.3400199,-28.5451172
3_BPH_ITU_20230829,-2.1721788,-28.7898232
4_BPH_ITU_20230829,-0.8138562,-29.2882244
5_BPH_ITU_20230829,-0.1885491,-28.3143944
6_BPH_ITU_20230829,-0.0160162,-28.9386444
1_SPH_ITU_20230829,-3.2512574,-32.3395584
2_SPH_ITU_20230829,-4.3991497,-33.9236552
3_SPH_ITU_20230829,-4.3861848,-33.375314
4_SPH_ITU_20230829,-0.5535609,-31.3247776
5_SPH_ITU_20230829,-2.6568666,-31.5654884
6_SPH_ITU_20230829,-3.1674842,-30.9971712
1_BPH_DIU_20230901,-0.62038,-26.2348928
2_BPH_DIU_20230901,0.0547921,-27.807004
3_BPH_DIU_20230901,0.6791019,-26.8161944
4_BPH_DIU_20230901,-0.1446679,-27.5393256
5_BPH_DIU_20230901,2.6417883,-27.40249
6_BPH_DIU_20230901,-0.3650712,-28.1186296
1_SPH_DIU_20230901,-0.6941802,-28.1995324
2_SPH_DIU_20230901,-2.7605858,-30.2480712
3_SPH_DIU_20230901,1.1996925,-29.8535452
4_SPH_DIU_20230901,0.0597786,-29.9803928
5_SPH_DIU_20230901,0.87557,-30.9212624
6_SPH_DIU_20230901,0.1934168,-29.1693672
V1,-3.5354879,-26.7952196
V2,-3.3858929,-26.7063264
V3,-5.1331625,-26.6144368
V4,-5.2498466,-27.8938996
V5,-1.7064397,-27.95183
V6,-5.4034308,-28.006764
V7,-5.1570977,-28.531134
V8,-5.1820302,-27.472406
V9,-5.4203849,-30.4218624
V10,-4.5487447,-27.9338516
V11,-5.5819475,-27.95183
V12,-4.3851875,-28.27644
V13,-5.287744,-29.0485124
V14,-4.549742,-28.2654532
V15,-5.1162084,-27.9088816
V16,-4.4410363,-26.2079252
V17,-5.2967197,-25.4518336
V18,-4.7113046,-25.6535912
V19,-5.0703326,-27.5083628
V20,-5.5320825,-27.1358104
V21,-3.7838156,-27.6312152
V22,-3.3819037,-27.5413232
V23,-2.4574066,-27.4993736
V24,-3.2173492,-26.3717284
V25,-4.2964278,-27.3255824
V26,-4.9396863,-27.0449196
V27,-4.1328706,-26.8092028
V28,-4.9067754,-26.7692508
V29,-4.8958051,-27.0599016
V30,-5.2099546,-27.5403244
1_BPH_MS_20230531,-3.0488055,-27.3155944
2_BPH_MS_20230531,-2.4135254,-27.9528288
3_BPH_MS_20230531,-2.9779972,-27.397496
4_BPH_MS_20230531,-2.8323914,-28.0377268
5_BPH_MS_20230531,-2.7107208,-28.6969348
1_BPH_MS_20230720,0.047811,-28.3143944
2_BPH_MS_20230720,-2.5621231,-27.1338128
3_BPH_MS_20230720,-2.1332841,-26.6793588
4_BPH_MS_20230720,-1.0831272,-27.4803964
5_BPH_MS_20230720,-2.1273003,-28.3703272
1_BPH_MS_20230926,-0.4169308,-28.0756812
2_BPH_MS_20230926,-1.6725315,-28.1525888
3_BPH_MS_20230926,-2.8214211,-27.692142
4_BPH_MS_20230926,-3.6681288,-26.67836
5_BPH_MS_20230926,-2.5710988,-28.4622168
