site,tree,canopy_position,canopy_position2,campaign,sampling_date,d15N_stem_phloem,d13C_stem_phloem,,,,,,,,,,,,
BER,BER4,shade_low,shade,summer23,20230830,0.4098309,-32.5832656,,,,,,,,,,,,
BER,BER5,shade_low,shade,summer23,20230830,-1.6196746,-34.2702388,,,,,,,,,,,,
BER,BER6,shade_low,shade,summer23,20230830,0.1615032,-32.5872608,,,,,,,,,,,,
ITU,ITU1,shade_low,shade,summer23,20230829,-3.2512574,-32.3395584,,,,,,,,,,,,
ITU,ITU2,shade_low,shade,summer23,20230829,-4.3991497,-33.9236552,,,,,,,,,,,,
ITU,ITU3,shade_low,shade,summer23,20230829,-4.3861848,-33.375314,,,,,,,,,,,,
ITU,ITU4,shade_low,shade,summer23,20230829,-0.5535609,-31.3247776,,,,,,,,,,,,
ITU,ITU5,shade_low,shade,summer23,20230829,-2.6568666,-31.5654884,,,,,,,,,,,,
ITU,ITU6,shade_low,shade,summer23,20230829,-3.1674842,-30.9971712,,,,,,,,,,,,
DIU,DIU1,shade_low,shade,summer23,20230901,-0.6941802,-28.1995324,,,,,,,,,,,,
DIU,DIU2,shade_low,shade,summer23,20230901,-2.7605858,-30.2480712,,,,,,,,,,,,
DIU,DIU3,shade_low,shade,summer23,20230901,1.1996925,-29.8535452,,,,,,,,,,,,
DIU,DIU4,shade_low,shade,summer23,20230901,0.0597786,-29.9803928,,,,,,,,,,,,
DIU,DIU5,shade_low,shade,summer23,20230901,0.87557,-30.9212624,,,,,,,,,,,,
DIU,DIU6,shade_low,shade,summer23,20230901,0.1934168,-29.1693672,,,,,,,,,,,,
