site,tree,canopy_position,canopy_position2,campaign,sampling_date,tissue,tissue2,weight_mg,N_perc_leaf,d15N_leaf,C_perc_leaf,d13C_leaf
BER,BER2,shade_low,shade,summer23,20230830,leaf,leaf,2.42,1.9552635,-2.2839182,49.369617,-31.8101378
BER,BER3,shade_low,shade,summer23,20230830,leaf,leaf,2.421,1.8782057,-3.0918068,49.88834537,-31.4567159
BER,BER4,shade_low,shade,summer23,20230830,leaf,leaf,2.472,2.4900569,-0.8910416,49.31847078,-32.9569969
BER,BER5,shade_low,shade,summer23,20230830,leaf,leaf,2.475,2.3547942,-0.799259,49.65831601,-34.1149319
BER,BER6,shade_low,shade,summer23,20230830,leaf,leaf,2.528,2.1379634,-2.619782,48.13363761,-33.4614538
ART,ART1,shade_low,shade,summer23,20230831,leaf,leaf,2.546,2.258309978,-3.5144102,47.28814121,-33.6175233
ART,ART2,shade_low,shade,summer23,20230831,leaf,leaf,2.553,2.263101962,-3.1160132,50.66976516,-32.4464986
ART,ART3,shade_low,shade,summer23,20230831,leaf,leaf,2.479,2.196984153,-2.9859038,50.34438803,-32.8109964
ART,ART4,shade_low,shade,summer23,20230831,leaf,leaf,2.43,2.229112229,-2.8961384,49.60644018,-33.3839225
ART,ART6,shade_low,shade,summer23,20230831,leaf,leaf,2.611,2.550419266,-3.1482884,50.2405242,-32.9338382
DIU,DIU1,shade_low,shade,summer23,20230901,leaf,leaf,2.524,2.112560792,-0.7195796,48.34914238,-29.2938947
DIU,DIU2,shade_low,shade,summer23,20230901,leaf,leaf,2.453,2.184720592,-1.5224252,47.5687301,-30.3612087
DIU,DIU3,shade_low,shade,summer23,20230901,leaf,leaf,2.572,2.10271901,-1.0877186,47.37611005,-29.7026961
DIU,DIU4,shade_low,shade,summer23,20230901,leaf,leaf,2.449,2.654056137,-0.9949274,47.49155783,-29.9886557
DIU,DIU5,shade_low,shade,summer23,20230901,leaf,leaf,2.492,2.247825529,-0.4502834,47.3215967,-31.2190875
DIU,DIU6,shade_low,shade,summer23,20230901,leaf,leaf,2.51,2.441728514,-1.9056932,47.1381168,-30.2081599
