INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,NOM_PROV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31
1002E,2002,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,4,0,326,372,0,0,4,0,0,0,181,498,54,22,53,52,10,261,48,40,195,10,0,0,45,15,,,,077X,,011X,077X,011X,011X,057X,067X,011X057X067X,057X,057X077X,057X067X,011X077X,011X,011X,011X057X,011X,011X,011X057X,011X057X,011X,011X057X,011X057X,011X057X,057X067X,067X,011X067X,011X057X,,,
1002E,2002,3,SEÑORIO DE BERTIZ,146,NAVARRA,70,15,0,0,130,56,101,0,0,0,0,0,20,14,1,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,011X,011X057X,057X,067X,011X067X,011X057X,011X,,067X,057X067X,067X,067X,011X067X,011X067X,011X067X,011X,,067X,067X,067X,067X,057X067X,057X067X,057X067X,067X,077X,077X,067X,,,067X
1002E,2002,4,SEÑORIO DE BERTIZ,146,NAVARRA,0,91,365,52,5,35,2,29,15,115,145,14,30,6,0,0,0,0,0,0,0,0,0,0,0,20,0,6,4,6,,067X,011X067X,011X,011X,011X057X,011X,011X,011X,011X,011X,011X021X,011X,011X057X,011X057X,,057X,057X067X,057X067X,067X,057X067X,067X,067X,057X067X,057X067X,067X,011X057X,,011X067X,011X,011X057X067X,
1002E,2002,5,SEÑORIO DE BERTIZ,146,NAVARRA,32,118,60,29,17,2,112,205,285,103,62,0,0,0,0,0,107,3,0,58,71,59,20,12,0,32,0,10,0,0,0,011X,011X,011X,011X,011X057X,011X057X,011X057X067X,011X057X,011X057X,011X057X,011X057X,057X,067X,057X067X,067X,067X,011X,011X,067X,011X067X,011X057X,011X,011X,011X067X,067X,011X067X,,011X067X,,067X,067X
1002E,2002,6,SEÑORIO DE BERTIZ,146,NAVARRA,0,57,43,298,115,2,225,104,5,0,0,0,0,0,0,0,0,2,46,0,1,2,32,8,0,8,5,0,21,0,,,011X067X,011X057X,011X057X,011X057X,011X,011X067X,011X,011X,057X,067X,067X,057X067X,067X,057X067X,057X067X,,011X057X,011X,057X,011X067X,011X057X,011X057X,011X,057X067X,011X057X067X,011X067X,067X,011X057X,,
1002E,2002,7,SEÑORIO DE BERTIZ,146,NAVARRA,3,0,20,-3,16,0,0,70,97,7,0,8,4,4,-3,0,0,0,2,10,0,167,1,24,20,-3,4,1,0,87,-3,011X067X,,011X067X,011X,011X067X,,067X,011X,011X067X,011X067X,057X,011X067X,011X,011X,011X,057X067X,057X067X,057X067X,011X067X,011X057X067X,057X,011X067X,011X057X,011X057X,011X057X,011X,011X057X067X,011X057X,041X057X,011X057X,011X
1002E,2002,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,13,30,9,15,110,115,28,3,0,0,11,0,0,2,5,0,0,0,21,0,126,3,103,284,5,3,4,067X,067X,067X,057X067X,011X067X,011X057X,011X057X067X,011X057X,011X057X,011X,011X057X,011X057X,057X067X,057X067X,011X057X067X,057X,057X067X,011X067X,011X057X067X,057X,057X,067X,011X067X,057X,011X057X067X,011X057X,011X057X067X,011X057X,011X057X,011X057X067X,011X
1002E,2002,9,SEÑORIO DE BERTIZ,146,NAVARRA,1,10,2,87,12,7,76,130,10,0,0,0,0,0,0,2,44,0,0,0,18,0,0,0,0,0,0,0,0,0,,011X057X,011X057X067X,011X057X,011X057X067X,011X057X,011X057X067X,011X057X067X,011X057X,011X,057X,057X067X,057X067X,057X067X,057X067X,057X067X,011X067X,011X,067X,067X,067X,011X057X067X,057X,067X,067X,057X067X,057X067X,057X067X,057X067X,067X,067X,
1002E,2002,10,SEÑORIO DE BERTIZ,146,NAVARRA,21,0,0,0,0,0,0,166,197,330,140,10,0,0,8,55,27,0,0,0,39,69,18,12,0,0,0,0,0,241,36,011X067X,,067X,057X067X,057X067X,057X067X,057X067X,011X067X,011X,011X,011X,011X,057X067X,057X067X,011X067X,011X,011X,057X067X,067X,,011X,011X,011X,011X067X,067X,057X067X,067X,057X067X,067X,011X057X,011X
1002E,2002,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,30,24,60,3,620,171,107,366,20,0,0,62,47,0,0,3,0,237,49,3,0,0,22,4,0,0,49,350,226,,057X067X,011X067X,011X057X,011X057X,011X057X,011X057X,011X057X,011X057X,011X057X,011X057X,057X,067X,011X067X,011X067X,067X,067X,011X067X,057X,011X,011X057X,011X,067X,067X,011X067X,011X057X,057X,077X,011X067X,011X,011X,
1002E,2002,12,SEÑORIO DE BERTIZ,146,NAVARRA,485,478,691,478,180,40,30,0,0,0,0,0,0,10,0,10,33,2,50,0,0,0,0,0,7,0,355,62,0,180,50,011X057X,011X057X,011X057X,011X057X,011X031X057X,011X057X,011X057X,057X,067X,067X,,077X,077X,011X,077X,011X077X,011X,011X057X,011X057X,,057X067X,057X067X,067X,067X,011X067X,,011X,011X057X,057X,011X067X,011X
1002E,2003,1,SEÑORIO DE BERTIZ,146,NAVARRA,18,0,0,158,56,195,52,55,185,0,0,0,0,0,29,10,10,43,45,12,33,200,102,0,26,135,3,312,640,453,0,011X057X,067X,067X,011X057X,011X057X,011X057X,011X077X,011X,011X057X,057X,057X077X,057X,077X,077X,011X077X,011X057X,011X057X067X,011X057X,011X057X,011X067X,011X067X,011X067X,011X,067X,011X077X,011X057X,011X057X,011X057X,011X021X,011X081X,081X
1002E,2003,2,SEÑORIO DE BERTIZ,146,NAVARRA,200,195,388,390,90,0,0,0,84,0,64,46,15,10,0,0,0,5,-3,22,0,5,-3,0,7,130,0,5,,,,011X021X077X,011X057X,011X057X,011X057X,011X057X,057X067X,077X,077X,011X077X,057X,011X067X,011X057X,011X057X,011X057X,057X067X,077X,057X,011X077X,011X,011X067X,057X067X,011X,011X,,011X,011X,,011X077X,,,
1002E,2003,3,SEÑORIO DE BERTIZ,146,NAVARRA,5,190,250,0,248,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,67,0,120,0,011X,011X067X,011X057X,057X067X,011X067X,011X,067X,067X,077X,077X,067X,067X,057X067X,057X067X,057X067X,067X,067X,077X,077X,077X,057X077X,057X067X,,,067X,067X,011X,011X057X,057X,011X,057X
1002E,2003,4,SEÑORIO DE BERTIZ,146,NAVARRA,20,205,0,0,0,0,0,0,73,3,123,0,0,0,30,0,0,0,81,-3,0,2,0,0,22,-3,0,95,8,0,,011X057X067X,011X,,067X,077X,057X067X,067X,057X067X,011X057X067X,011X057X,011X,057X,067X,,011X067X,057X067X,067X,067X,011X057X067X,011X,067X,011X067X,067X,067X,011X067X,011X,067X,011X,011X057X,,
1002E,2003,5,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,88,328,390,90,0,0,0,0,7,0,0,0,16,0,0,4,14,0,0,0,152,195,-3,0,0,0,0,0,067X,067X,057X067X,011X067X,011X057X,011X057X,011X057X,057X,057X067X,067X,057X067X,011X057X067X,,067X,067X,011X067X,067X,067X,011X067X,011X,067X,067X,067X,011X067X,011X,011X,067X,067X,067X,067X,057X067X
1002E,2003,6,SEÑORIO DE BERTIZ,146,NAVARRA,237,165,117,158,0,0,0,-3,0,0,0,0,0,0,3,0,5,-3,0,0,0,0,0,2,-3,0,0,0,0,0,,011X067X,011X057X,011X067X,011X,057X,057X067X,057X067X,011X057X,057X067X,067X,057X067X,067X,067X,067X,011X057X067X,057X067X,011X057X067X,011X057X,067X,067X,067X,067X,,011X067X,011X057X,057X,067X,057X,067X,,
1002E,2003,7,SEÑORIO DE BERTIZ,146,NAVARRA,0,3,0,8,0,0,0,0,0,0,0,0,0,6,98,0,0,0,0,4,0,0,0,0,0,30,10,0,0,0,0,067X,011X,067X,011X057X,067X,,057X,,057X,057X,057X,057X067X,067X,011X057X,011X057X,,067X,067X,,011X,057X,,,,067X,011X067X,011X,,067X,057X067X,067X
1002E,2003,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,127,27,2,0,0,0,0,3,3,0,0,15,0,38,44,057X067X,067X,067X,,,,057X,057X,067X,067X,057X,057X,057X067X,057X,057X,011X057X,011X057X,011X057X,011X067X,,057X,,057X,011X057X,011X057X,057X,057X,011X067X,067X,011X067X,011X
1002E,2003,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,136,31,0,97,12,530,110,10,20,2,0,0,0,0,0,0,0,0,28,106,55,0,0,2,193,28,0,40,,057X,067X,011X067X,011X057X,057X,011X057X067X,011X057X,011X057X067X,011X057X,011X067X,011X057X,011X,057X067X,057X067X,067X,067X,067X,067X,067X,,011X067X,011X057X,011X057X,067X,067X,011X057X067X,011X057X,011X057X,057X067X,011X067X,
1002E,2003,10,SEÑORIO DE BERTIZ,146,NAVARRA,8,100,54,220,36,0,84,50,-3,0,13,144,0,25,5,0,5,0,120,38,5,138,152,-3,49,53,11,202,217,37,45,011X,011X067X,011X067X,011X057X,011X,057X067X,011X057X067X,011X057X,011X057X,067X,011X057X067X,011X057X,057X,011X057X067X,011X057X,057X,011X057X067X,057X067X,011X067X,011X057X,011X057X067X,011X057X,011X,011X057X,011X057X067X,011X,011X057X,011X057X,011X057X,011X,011X
1002E,2003,11,SEÑORIO DE BERTIZ,146,NAVARRA,118,0,0,0,2,0,0,25,7,2,7,55,3,-3,25,150,0,0,0,0,0,11,66,0,5,275,225,35,47,44,,011X057X,057X067X,067X,057X067X,011X067X,067X,057X067X,011X067X,011X,011X057X,011X057X,011X057X,011X057X,011X057X,011X067X,011X057X,057X067X,057X067X,077X,057X067X,067X,011X,011X,,011X067X,011X057X,011X,011X057X,011X057X,011X,
1002E,2003,12,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,50,0,0,5,5,0,0,0,138,35,23,122,0,0,0,48,27,0,197,64,194,99,0,0,162,228,332,305,3,,057X067X,011X077X,057X,067X,011X067X,011X,067X,067X,077X,011X057X067X,011X057X,011X057X,011X057X,,057X067X,067X,011X067X,011X057X,057X,011X067X,011X077X,011X057X077X,011X057X,057X,067X,011X067X,011X031X057X,011X057X,011X,011X
1002E,2004,1,SEÑORIO DE BERTIZ,146,NAVARRA,263,295,7,0,0,0,0,7,43,-3,13,0,31,104,0,25,280,64,35,128,50,75,468,45,110,90,57,104,6,0,0,011X077X,011X057X,011X057X,057X,057X077X,057X077X,077X,011X077X,011X057X,011X,011X067X,,011X067X,011X057X,057X,011X067X,011X,011X057X,011X077X,011X057X,011X057X,011X057X,011X057X,011X057X,011X057X,011X,011X057X,011X057X,011X057X,067X,067X
1002E,2004,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,4,8,0,0,0,0,0,0,0,10,21,0,8,112,144,124,82,0,25,12,19,362,421,88,,,067X,067X,077X,067X,067X,011X067X,011X057X,057X,077X,057X077X,077X,077X,057X067X,057X077X,011X057X067X,011X057X,057X,011X067X,021X057X081X,021X057X081X,011X057X081X,011X057X,057X,011X077X,011X057X,011X067X,011X021X077X081X,021X081X,021X081X,,
1002E,2004,3,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,39,42,4,0,0,0,8,160,15,0,0,0,0,0,0,0,173,525,125,33,0,0,10,23,41,28,-3,081X,081X,077X081X,077X081X,011X057X,011X057X,011X057X,057X067X,057X067X,057X067X,011X077X,011X,011X057X,057X067X,057X067X,067X,067X,067X,057X067X,067X,011X067X,011X,011X,011X057X,057X067X,057X067X,011X067X,011X,011X057X067X,011X057X,011X
1002E,2004,4,SEÑORIO DE BERTIZ,146,NAVARRA,15,0,0,0,0,85,20,103,80,0,70,29,50,0,0,43,75,69,18,-3,279,125,-3,0,0,0,119,120,17,53,,011X067X,067X,067X,067X,067X,011X067X,011X,011X067X,011X057X,057X,011X057X067X,011X057X,011X057X,,067X,011X067X,011X,011X,011X,011X,011X041X067X,011X057X,011X,067X,057X067X,057X067X,011X067X,011X057X,011X057X,011X041X,
1002E,2004,5,SEÑORIO DE BERTIZ,146,NAVARRA,98,0,10,155,225,108,156,20,40,8,190,11,0,0,0,0,0,0,0,0,0,232,0,0,0,0,0,0,10,0,5,011X067X,067X,011X067X,011X067X,011X,011X057X,011X,011X,011X067X,011X,011X067X,011X057X,057X067X,067X,067X,057X067X,067X,067X,067X,067X,067X,011X057X,067X,067X,067X,057X067X,057X067X,057X067X,011X067X,067X,011X067X
1002E,2004,6,SEÑORIO DE BERTIZ,146,NAVARRA,12,0,0,0,0,0,158,35,0,0,0,0,0,0,0,0,0,50,76,2,20,0,0,0,0,0,0,0,0,0,,011X057X,057X,067X,057X067X,057X067X,057X067X,011X031X041X,011X,067X,067X,057X067X,067X,067X,067X,057X,067X,067X,011X067X,011X057X,011X,011X067X,067X,067X,067X,067X,,067X,057X067X,067X,067X,
1002E,2004,7,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,1,695,0,0,9,1,0,14,0,0,0,0,2,0,300,1,81,0,0,0,0,0,0,6,0,0,0,067X,057X,067X,067X,011X057X,011X031X041X057X,,067X,011X067X,011X057X,067X,011X067X,067X,067X,067X,067X,011X,,011X041X067X,011X057X,011X041X057X,067X,067X,067X,057X067X,057X067X,057X067X,011X041X057X067X,057X,057X067X,057X067X
1002E,2004,8,SEÑORIO DE BERTIZ,146,NAVARRA,1,66,46,108,0,0,0,15,41,0,5,0,0,0,0,0,16,0,30,55,-3,0,2,0,10,20,0,0,0,0,0,011X041X067X,011X067X,011X057X,011X057X,057X,057X067X,057X067X,011X067X,011X057X,,011X067X,067X,067X,057X067X,067X,057X067X,011X067X,,011X067X,011X057X067X,011X057X,067X,011X,057X067X,011X057X,011X057X,067X,067X,057X067X,057X,057X067X
1002E,2004,9,SEÑORIO DE BERTIZ,146,NAVARRA,11,15,2,0,0,50,0,0,401,41,0,0,0,119,105,0,0,4,11,0,5,0,7,25,0,12,0,0,0,0,,011X041X057X067X,011X,011X057X,057X,057X067X,011X041X057X067X,,,011X031X041X,011X057X,057X,057X067X,057X067X,011X057X067X,011X057X,057X,057X067X,011X067X,011X057X,057X,011X057X067X,057X,011X057X067X,011X057X,057X067X,011X057X067X,057X,057X067X,057X067X,057X067X,
1002E,2004,10,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,3,2,0,0,0,0,13,10,49,9,318,160,0,40,0,0,22,0,0,0,222,46,22,7,0,0,55,057X067X,057X067X,057X067X,067X,011X067X,011X057X,057X,067X,,,011X067X,011X057X,011X057X067X,011X057X,011X057X,011X057X,057X,011X067X,,067X,011X057X067X,057X067X,067X,067X,011X067X,011X057X,011X,011X067X,067X,067X,011X057X067X
1002E,2004,11,SEÑORIO DE BERTIZ,146,NAVARRA,48,-3,0,0,0,0,0,283,382,220,24,0,0,0,0,0,0,0,35,-3,0,0,0,0,0,0,0,55,70,0,,011X057X,011X057X,067X,067X,067X,067X,067X,011X067X,011X,011X,011X057X,057X067X,057X067X,077X,077X,067X,067X,057X067X,011X057X067X,011X057X,057X067X,057X067X,057X067X,057X067X,057X067X,077X,057X067X,011X067X,011X,057X067X,
1002E,2004,12,SEÑORIO DE BERTIZ,146,NAVARRA,89,88,6,0,0,0,0,13,0,0,0,0,0,0,0,118,180,106,456,40,43,35,75,31,314,0,55,155,90,81,25,011X067X,011X,011X057X,057X,057X067X,057X067X,057X067X,011X057X067X,057X,057X067X,057X067X,057X067X,067X,057X067X,067X,011X057X067X,011X057X,011X,011X057X,011X,011X057X067X,011X057X067X,011X057X,011X057X,011X021X,057X,011X077X,011X057X,011X057X,011X,011X057X
1002E,2005,1,SEÑORIO DE BERTIZ,146,NAVARRA,20,62,0,0,0,3,0,0,0,0,0,2,0,2,0,0,0,478,428,22,21,38,40,23,0,-3,0,138,0,0,0,011X057X,011X057X,057X,077X,077X,011X067X,057X,067X,077X,077X,077X,011X077X,057X,011X057X077X,067X,067X,057X077X,011X057X067X,011X057X,011X057X,011X057X,011X057X,011X057X,021X067X,081X,021X077X,077X,021X077X,081X,077X,067X
1002E,2005,2,SEÑORIO DE BERTIZ,146,NAVARRA,65,2,0,0,5,0,0,0,0,0,15,90,379,245,26,10,0,16,216,190,32,15,7,0,0,6,0,0,,,,011X067X,011X077X,077X,067X,011X077X,057X,077X,077X,077X,057X067X,011X077X,011X057X,011X057X,011X057X,011X021X057X,021X057X,067X,011X057X,011X057X,011X021X057X081X,021X077X081X,021X081X,011X057X077X,057X,077X,021X077X081X,081X,077X,,,
1002E,2005,3,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,230,110,290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,8,0,122,1,5,0,11,15,0,077X,077X,011X021X057X,011X021X081X,011X057X,057X,077X,077X,077X,077X,067X,077X,057X067X,067X,067X,067X,067X,067X,067X,067X,011X067X,,011X067X,057X,011X067X,011X057X,011X067X,057X,011X067X,011X057X,057X067X
1002E,2005,4,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,2,0,0,134,331,105,135,0,0,0,160,338,191,70,67,100,253,155,7,62,41,0,0,0,0,0,0,,067X,,,011X067X,057X,,011X,011X021X,011X021X,011X057X,,067X,057X067X,011X057X067X,011X,011X041X057X,011X057X,011X057X,011X057X,011X,011X057X,011X057X,011X041X067X,011X,057X,067X,057X067X,067X,057X067X,067X,
1002E,2005,5,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,125,40,0,0,0,120,67,170,5,328,0,0,32,169,0,0,4,11,7,0,0,0,0,0,0,52,0,0,067X,067X,067X,011X057X,011X,067X,057X067X,067X,011X041X067X,011X057X,011X057X,011X,011X,057X,067X,011X067X,011X,067X,067X,011X067X,011X,011X,,067X,067X,067X,,067X,011X067X,,067X
1002E,2005,6,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,2,15,230,0,0,0,0,0,0,0,0,0,0,40,31,0,32,0,0,5,,067X,067X,057X067X,067X,067X,067X,,057X067X,067X,067X,011X067X,011X041X067X,011X041X057X,057X,067X,057X067X,067X,067X,057X067X,067X,067X,067X,067X,011X,011X057X,057X,011X067X,,057X,011X067X,
1002E,2005,7,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,11,3,11,59,18,0,8,0,0,0,0,0,0,0,4,7,0,0,0,0,0,2,0,0,0,0,0,0,17,057X,067X,011X067X,011X057X,011X067X,011X057X,011X057X,057X,011X067X,,057X067X,067X,067X,067X,057X067X,,011X057X,011X057X,067X,067X,057X,,,011X067X,057X,057X,067X,,,067X,011X067X
1002E,2005,8,SEÑORIO DE BERTIZ,146,NAVARRA,7,0,0,0,0,0,0,2,0,245,0,0,0,0,0,0,0,0,137,231,4,4,27,0,0,75,10,0,0,0,81,011X,057X,067X,,067X,067X,,011X067X,067X,011X067X,057X,057X067X,067X,067X,057X067X,067X,067X,,011X067X,011X,011X057X,011X057X,011X057X,057X067X,057X067X,011X057X067X,011X057X,057X,057X067X,067X,011X
1002E,2005,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,4,210,18,289,65,0,92,8,0,0,0,232,0,0,0,0,0,0,0,8,66,0,4,0,4,0,,057X,057X067X,067X,057X,011X057X,011X057X,011X057X,011X,011X057X,057X,011X067X,011X,057X,057X067X,057X067X,011X057X067X,,067X,057X067X,057X067X,057X067X,057X067X,057X067X,011X057X067X,011X057X,057X067X,011X057X067X,057X,011X057X067X,057X,
1002E,2005,10,SEÑORIO DE BERTIZ,146,NAVARRA,158,27,0,0,0,0,0,0,8,-3,0,362,46,55,6,0,19,40,0,0,0,137,8,0,0,0,0,81,0,140,5,011X057X067X,011X057X,057X,057X067X,057X067X,057X067X,057X067X,067X,011X057X067X,011X057X,,011X067X,011X057X,011X057X,011X,067X,011X067X,011X057X,057X067X,067X,067X,011X067X,011X057X,057X067X,,067X,,011X,,011X,011X
1002E,2005,11,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,125,58,5,0,0,327,255,0,0,400,40,5,192,189,50,0,0,0,0,0,0,110,400,87,190,73,190,300,,061X,,011X061X,011X051X,011X051X,051X061X,061X,011X061X,011X,051X,051X061X,011X061X,011X051X,011X051X,011X051X,011X051X,011X051X,051X061X,051X061X,061X,061X,051X061X,051X061X,011X061X,011X051X,011X,011X,011X051X,011X,011X051X,
1002E,2005,12,SEÑORIO DE BERTIZ,146,NAVARRA,23,12,0,155,330,140,25,197,6,0,0,0,3,-3,0,46,93,0,0,0,0,0,0,0,0,0,0,100,416,30,132,011X051X,011X,,011X,011X051X,011X051X,011X051X,011X051X,011X,051X061X,051X061X,061X,011X051X061X,011X051X,061X,011X061X,011X051X,061X,051X071X,051X071X,071X,071X,071X,071X,071X,051X071X,051X,021X071X,011X051X,011X051X,011X051X
1002E,2006,1,SEÑORIO DE BERTIZ,146,NAVARRA,245,122,0,166,28,0,0,48,120,0,0,0,0,0,0,0,82,62,8,4,6,0,0,0,0,0,0,0,-3,10,12,011X051X,011X051X,051X,011X061X,011X051X,051X,051X061X,011X061X,011X,051X061X,051X071X,051X071X,071X,,,,011X061X,011X061X,011X051X,011X051X061X,011X051X,061X,051X071X,071X,,071X,,051X071X,021X051X071X,011X051X,011X051X
1002E,2006,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,53,10,380,185,5,130,3,20,5,11,2,0,15,,,,051X,051X061X,071X,051X,051X,051X,051X071X,051X071X,051X071X,051X061X,071X,051X071X,051X071X,071X,011X051X061X,011X,011X051X,011X,011X,011X,011X051X,011X051X,011X051X,011X051X,011X071X,011X051X,051X,011X051X,,,
1002E,2006,3,SEÑORIO DE BERTIZ,146,NAVARRA,110,-3,0,170,192,120,125,3,145,825,230,77,0,0,0,0,0,-3,25,0,108,75,10,15,0,0,108,0,3,12,0,011X051X,011X,,011X,011X021X,011X,011X051X,011X,011X,011X,011X051X,011X,,051X061X,061X,071X,051X061X,011X,011X,,011X061X,011X051X,011X,011X,,061X,011X,,011X061X,011X,051X
1002E,2006,4,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,50,0,0,0,0,195,35,0,0,0,7,4,125,72,0,0,0,280,58,0,0,3,6,60,0,0,0,,051X,061X,061X,011X061X,051X,061X,051X061X,061X,011X031X051X061X,011X051X,051X061X,061X,061X,011X061X,011X051X,011X061X,011X,,051X061X,061X,011X061X,011X051X,051X,051X061X,011X051X061X,011X051X,011X051X,,061X,061X,
1002E,2006,5,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,105,53,14,50,0,0,0,25,10,-3,0,0,0,0,-3,0,0,0,27,5,0,0,0,0,0,8,0,0,061X,061X,061X,011X,011X051X,011X051X,011X,,061X,061X,011X061X,011X061X,011X051X,061X,061X,,061X,011X051X,051X061X,061X,,011X061X,011X051X,061X,061X,051X,,051X,011X,,
1002E,2006,6,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,123,351,0,0,249,-3,0,0,0,187,-3,29,8,3,0,0,,061X,061X,,061X,061X,061X,061X,,,,061X,,,061X,011X061X,011X051X,051X,051X061X,011X061X,011X051X,061X,061X,061X,011X051X061X,011X051X,011X061X,011X051X,011X051X,051X,051X061X,
1002E,2006,7,SEÑORIO DE BERTIZ,146,NAVARRA,0,3,0,0,10,4,0,0,0,0,3,0,0,0,0,0,0,100,22,0,10,0,0,7,0,5,69,30,0,2,0,061X,011X051X061X,051X,051X,011X061X,011X061X,051X,061X,061X,,011X051X,051X,051X061X,061X,051X061X,061X,061X,011X041X061X,011X,061X,011X061X,051X,,011X041X061X,051X,011X,011X051X,011X051X,051X,011X061X,051X
1002E,2006,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,126,17,0,0,0,5,8,0,0,0,30,0,0,15,13,10,52,14,0,0,0,0,0,118,35,3,3,30,0,0,051X061X,011X061X,011X051X,061X,061X,061X,011X061X,011X051X,061X,061X,061X,011X061X,051X,061X,011X051X061X,011X061X,011X,011X061X,011X,051X,051X,051X061X,,051X061X,011X051X,011X051X,011X051X,011X051X,011X061X,,051X061X
1002E,2006,9,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,0,0,0,23,0,0,0,255,238,73,522,341,53,0,0,0,0,340,0,20,62,190,0,0,0,12,17,,061X,051X,051X061X,051X061X,051X061X,051X061X,011X061X,061X,061X,061X,011X041X051X,011X051X,011X051X,011X051X,011X051X,011X,051X,051X061X,051X061X,061X,011X061X,,011X061X,011X,011X051X,051X,051X061X,051X061X,011X061X,011X051X,
1002E,2006,10,SEÑORIO DE BERTIZ,146,NAVARRA,0,71,90,98,0,78,-3,0,0,3,332,0,0,0,0,0,13,0,28,18,0,65,0,0,4,-3,0,0,0,0,15,061X,011X061X,011X,011X051X,051X,011X051X061X,011X051X,061X,061X,011X061X,011X061X,051X,051X061X,061X,061X,061X,011X,061X,011X061X,011X,,011X061X,,061X,011X,011X,061X,061X,051X061X,051X061X,011X051X061X
1002E,2006,11,SEÑORIO DE BERTIZ,146,NAVARRA,21,0,0,15,0,0,0,0,0,0,20,40,0,0,0,222,0,0,69,62,784,94,5,10,0,0,0,28,4,0,,011X051X,051X061X,051X061X,011X061X,051X,061X,061X,061X,061X,051X061X,011X051X061X,011X051X,051X,051X061X,061X,011X,061X,061X,011X061X,011X051X,011X051X,011X051X,011X,011X,,061X,,011X061X,011X051X,051X061X,
1002E,2006,12,SEÑORIO DE BERTIZ,146,NAVARRA,0,94,20,1,664,113,40,67,265,0,0,0,0,0,0,4,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,011X,011X051X,011X,011X051X,011X,011X,011X,011X,051X,051X061X,061X,051X061X,071X,071X,011X071X,011X051X,051X061X,051X061X,051X071X,051X071X,051X,051X061X,051X061X,051X,051X,071X,071X,071X,,061X
1002E,2007,1,SEÑORIO DE BERTIZ,146,NAVARRA,49,5,0,16,5,3,8,6,0,0,4,0,0,0,0,0,0,0,0,12,3,325,418,110,-3,0,0,0,0,67,29,011X,011X051X,051X061X,011X051X061X,011X051X,011X051X,011X051X,011X051X,051X061X,061X,011X051X061X,051X,051X061X,051X061X,051X061X,051X061X,051X061X,061X,051X061X,011X051X061X,011X051X,011X051X061X,011X021X081X,021X081X,021X081X,071X081X,071X081X,051X081X,051X071X,011X071X,011X051X
1002E,2007,2,SEÑORIO DE BERTIZ,146,NAVARRA,-3,0,0,10,12,10,174,95,74,5,70,60,0,90,0,25,140,146,0,42,10,0,37,65,70,74,15,12,,,,011X051X,051X061X,051X071X,011X051X061X,011X051X,011X051X,011X,011X,011X,011X,011X,011X051X,051X061X,011X,051X061X,011X,011X,011X051X,051X,011X061X,011X051X,,011X061X,011X,011X051X,011X,011X051X,011X051X,,,
1002E,2007,3,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,16,0,17,583,171,28,0,0,0,0,0,0,0,0,188,530,242,60,66,345,50,40,8,298,37,77,118,47,051X061X,061X,061X,011X061X,061X,011X,011X,011X051X,011X051X,061X,051X061X,061X,061X,051X061X,051X061X,051X061X,051X061X,011X051X061X,011X021X051X,021X031X041X,011X031X,011X051X,011X051X,011X051X,011X051X,011X051X,011X051X,011X051X,011X051X,011X,011X051X
