INDICATIVO,AÑO,MES,NOMBRE,ALTITUD,NOM_PROV,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29,P30,P31,MET1,MET2,MET3,MET4,MET5,MET6,MET7,MET8,MET9,MET10,MET11,MET12,MET13,MET14,MET15,MET16,MET17,MET18,MET19,MET20,MET21,MET22,MET23,MET24,MET25,MET26,MET27,MET28,MET29,MET30,MET31
1002E,1994,1,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,289,0,160,202,88,64,38,124,8,0,0,32,78,262,0,0,0,0,0,0,18,32,67,6,45,19,0,0,0,,067X,011X,,011X067X,011X,011X,011X,011X057X,011X,011X057X,,067X,011X067X,011X067X,011X067X,067X,077X,077X,077X,077X,067X,011X077X,011X,011X,011X067X,011X057X067X,011X,057X067X,077X,057X
1002E,1994,2,SEÑORIO DE BERTIZ,146,NAVARRA,0,-3,145,251,305,0,170,246,4,6,30,260,0,6,0,0,55,77,124,22,34,56,56,13,0,0,0,163,,,,077X,011X077X,011X067X,011X021X,011X021X,057X,011X067X,011X021X,057X,011X057X,011X067X,011X,067X,011X067X,067X,067X,011X077X,011X,011X057X067X,011X041X,011X077X,011X057X067X,011X,011X,067X,,067X,011X067X,,,
1002E,1994,3,SEÑORIO DE BERTIZ,146,NAVARRA,11,19,39,0,100,0,0,0,0,0,9,4,90,15,5,13,0,0,0,0,95,-3,0,0,127,44,0,0,0,0,0,011X,011X067X,011X057X,057X067X,011X067X,057X067X,067X,057X067X,067X,057X067X,011X067X,011X057X,011X067X,011X,011X067X,011X067X,067X,057X067X,057X067X,057X067X,011X,011X,067X,067X,011X067X,011X,067X,067X,067X,067X,067X
1002E,1994,4,SEÑORIO DE BERTIZ,146,NAVARRA,183,447,440,222,280,167,260,26,523,341,5,0,95,39,0,13,259,6,5,0,0,0,0,142,0,0,0,0,0,0,,011X,011X031X041X,011X,011X,011X,011X,011X,011X,011X,011X041X,011X041X,067X,011X067X,011X057X,,011X067X,011X,011X,011X,057X067X,057X067X,067X,067X,011X,067X,067X,067X,057X067X,067X,067X,
1002E,1994,5,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,5,8,0,0,306,2,9,0,63,0,89,0,48,13,99,18,0,43,3,110,43,-3,0,0,0,0,0,0,0,057X067X,067X,011X067X,011X057X,067X,067X,011X057X067X,011X,011X057X067X,067X,011X067X,067X,011X,067X,011X,011X,011X067X,011X041X,067X,011X067X,011X,011X041X067X,011X067X,011X,067X,067X,067X,067X,057X067X,,067X
1002E,1994,6,SEÑORIO DE BERTIZ,146,NAVARRA,204,0,0,17,0,0,0,31,0,0,0,0,0,0,0,0,0,106,14,0,0,0,0,296,315,46,0,0,0,0,,011X041X067X,,067X,011X067X,,067X,067X,011X067X,067X,067X,067X,067X,067X,067X,067X,067X,067X,011X067X,011X,067X,067X,,067X,011X,011X,011X,067X,067X,067X,067X,
1002E,1994,7,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,0,4,0,0,0,0,0,0,0,2,0,0,0,0,3,0,8,0,0,48,0,7,0,0,0,0,17,0,36,067X,067X,067X,011X067X,,067X,067X,067X,067X,067X,067X,011X067X,057X,067X,,067X,011X067X,,011X,,,011X,,011X,,,,,011X,,011X
1002E,1994,8,SEÑORIO DE BERTIZ,146,NAVARRA,0,0,7,150,0,28,0,0,4,13,0,11,5,0,0,30,2,0,0,0,0,0,19,10,22,26,0,0,0,0,0,,067X,011X041X,011X,,011X067X,,,011X067X,011X,067X,011X067X,011X,,067X,011X067X,011X,067X,057X,057X,067X,,011X057X,011X,011X,011X,067X,,,,
1002E,1994,9,SEÑORIO DE BERTIZ,146,NAVARRA,43,7,0,0,0,0,10,42,41,0,0,0,11,127,81,115,86,7,152,131,29,39,265,0,0,11,103,12,5,0,,011X057X067X,011X057X,057X067X,067X,057X067X,067X,011X057X067X,011X057X,011X067X,057X,067X,067X,011X067X,011X067X,011X,011X,011X,011X,011X057X067X,011X,011X,011X,011X,067X,067X,011X067X,011X,011X,011X,067X,
1002E,1994,10,SEÑORIO DE BERTIZ,146,NAVARRA,0,10,69,89,0,0,0,0,0,0,19,0,0,0,143,172,0,23,62,12,14,74,69,0,47,7,336,21,0,0,0,067X,011X067X,011X,011X,067X,057X067X,067X,067X,067X,067X,011X067X,057X067X,057X067X,067X,011X067X,011X,057X,011X067X,011X,011X057X067X,011X057X067X,011X067X,011X,067X,011X067X,011X,011X067X,011X,067X,067X,067X
